seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_2328,303151,307978,4828,*,227,167.206317619455,-1.9483591403672,-88.6152573738726,5.83396534624584e-05,0.000400339125117121,3978798,3979024,227
scaffold_2274,541011,546092,5082,*,275,105.705804563829,-1.11581691627325,-67.7594778051316,5.83396534624584e-05,0.000400339125117121,2660338,2660612,275
scaffold_2251,412560,417149,4590,*,235,135.750285377729,-1.56155985745906,-66.5450488942137,5.83396534624584e-05,0.000400339125117121,1433597,1433831,235
scaffold_2276,1220024,1228164,8141,*,449,216.027788697767,-1.39796523733931,-62.7961228210007,5.83396534624584e-05,0.000400339125117121,2764098,2764546,449
scaffold_2311,65307,71123,5817,*,283,138.528199350455,-1.36243203427141,-61.8207026546913,5.83396534624584e-05,0.000400339125117121,3686976,3687258,283
scaffold_2691,1156,6511,5356,*,295,151.069058377537,-1.43321433732551,-57.4638342036086,5.83396534624584e-05,0.000400339125117121,5184158,5184452,295
scaffold_2294,421418,425577,4160,*,241,156.63548349127,-1.71049320526338,-55.8219785343759,5.83396534624584e-05,0.000400339125117121,3322985,3323225,241
scaffold_2280,446511,450215,3705,*,160,55.704076288301,-1.10145281113195,-54.8210236440886,5.83396534624584e-05,0.000400339125117121,2883354,2883513,160
scaffold_2253,2187558,2190974,3417,*,159,78.5113313900358,-1.40668694634859,-48.0595599244157,5.83396534624584e-05,0.000400339125117121,1664394,1664552,159
scaffold_2241,5011107,5011207,101,*,7,2.93536803301702,-2.45227834206707,-46.2542510637853,5.83396534624584e-05,0.000400339125117121,402171,402177,7
scaffold_2251,409193,410882,1690,*,105,58.749649326962,-1.51525187704366,-46.0040612233999,5.83396534624584e-05,0.000400339125117121,1433398,1433502,105
scaffold_2242,4471046,4475413,4368,*,297,121.997678213315,-1.16366529203225,-44.5291888259567,5.83396534624584e-05,0.000400339125117121,599172,599468,297
scaffold_2274,506939,510005,3067,*,139,76.5186089713729,-1.50476110131936,-44.3177911288357,5.83396534624584e-05,0.000400339125117121,2659358,2659496,139
scaffold_2241,4377501,4378515,1015,*,60,27.3785172969528,-1.32939366986001,-43.5372406968211,5.83396534624584e-05,0.000400339125117121,377852,377911,60
scaffold_2342,189796,192457,2662,*,128,71.508612412115,-1.41578091543053,-42.9271638688016,5.83396534624584e-05,0.000400339125117121,4175750,4175877,128
scaffold_2250,1951804,1954071,2268,*,166,51.882438177485,-0.997973478263287,-42.0926201947708,5.83396534624584e-05,0.000400339125117121,1401287,1401452,166
scaffold_2327,222772,227451,4680,*,273,84.2915925164325,-0.97532455149272,-41.1409202032576,5.83396534624584e-05,0.000400339125117121,3959409,3959681,273
scaffold_2241,5131850,5133083,1234,*,83,43.0612952423725,-1.43519552892816,-40.8211511541761,5.83396534624584e-05,0.000400339125117121,405920,406002,83
scaffold_2740,5765,6910,1146,*,83,64.5529894960736,-1.99595285967371,-40.7382365495213,5.83396534624584e-05,0.000400339125117121,5194830,5194912,83
scaffold_2280,479945,480230,286,*,7,6.38453502817875,-2.68627328516582,-40.1153728440069,5.83396534624584e-05,0.000400339125117121,2884117,2884123,7
scaffold_2299,492428,494782,2355,*,132,34.9520870149762,-0.847532928215799,-40.0781165197905,5.83396534624584e-05,0.000400339125117121,3440962,3441093,132
scaffold_2315,533803,534665,863,*,37,20.2199703904787,-1.49275988873441,-39.6532484503143,5.83396534624584e-05,0.000400339125117121,3779429,3779465,37
scaffold_2283,42306,45826,3521,*,106,54.3839064789178,1.50256653574044,39.0751925785574,5.83396534624584e-05,0.000400339125117121,2983980,2984085,106
scaffold_2365,286833,290603,3771,*,168,63.9298690668503,-1.16411224360111,-38.7221802989796,5.83396534624584e-05,0.000400339125117121,4448333,4448500,168
scaffold_3330,2017,2185,169,*,16,10.6495506849476,-1.80577537619709,-38.4727840394986,5.83396534624584e-05,0.000400339125117121,5262880,5262895,16
scaffold_2247,1185114,1187783,2670,*,138,74.3110893154258,-1.33123981039214,-38.2846832673246,5.83396534624584e-05,0.000400339125117121,1109534,1109671,138
scaffold_2251,661506,663097,1592,*,76,17.3790823773867,-0.864125794479859,-36.7494837019851,5.83396534624584e-05,0.000400339125117121,1442575,1442650,76
scaffold_2262,1191696,1194184,2489,*,105,35.61224022271,-1.12282576189964,-35.699794223911,5.83396534624584e-05,0.000400339125117121,2152445,2152549,105
scaffold_2382,76957,79242,2286,*,122,65.8336247822045,-1.31090754000252,-35.491708492793,5.83396534624584e-05,0.000400339125117121,4604854,4604975,122
scaffold_2359,313727,317222,3496,*,182,99.2695910583232,-1.4200565087707,-35.3386716755155,5.83396534624584e-05,0.000400339125117121,4380876,4381057,182
scaffold_2273,276834,278974,2141,*,115,55.8775161782401,-1.24022800057859,-35.2734184215714,5.83396534624584e-05,0.000400339125117121,2612491,2612605,115
scaffold_2277,985068,985591,524,*,27,15.5106619944301,-1.81180331165239,-34.9037847145784,5.83396534624584e-05,0.000400339125117121,2794933,2794959,27
scaffold_2257,1299395,1299504,110,*,12,9.30390084702813,-2.23613412333263,-34.7231515821576,5.83396534624584e-05,0.000400339125117121,1909357,1909368,12
scaffold_2249,1725773,1727065,1293,*,59,36.0331436580671,-1.53218195440914,-34.6152008045551,5.83396534624584e-05,0.000400339125117121,1303501,1303559,59
scaffold_2434,26208,32101,5894,*,296,145.498586919804,-1.29151651312595,-34.5026232253312,5.83396534624584e-05,0.000400339125117121,4897486,4897781,296
scaffold_2290,703325,704714,1390,*,74,28.1177989946697,-1.18921111777844,-33.6559654667428,5.83396534624584e-05,0.000400339125117121,3228083,3228156,74
scaffold_2263,71853,73204,1352,*,56,32.8197407921812,-1.48437718865703,-33.6438056453255,5.83396534624584e-05,0.000400339125117121,2169465,2169520,56
scaffold_2276,1233345,1234439,1095,*,71,37.0699891213645,-1.46843397187512,-33.4569190027853,5.83396534624584e-05,0.000400339125117121,2764701,2764771,71
scaffold_2324,120008,121223,1216,*,78,26.3193701985521,-1.17435588472799,-33.3688672110166,5.83396534624584e-05,0.000400339125117121,3918399,3918476,78
scaffold_2293,272741,274288,1548,*,98,69.8039746568838,-1.95448764649903,-31.800659784092,5.83396534624584e-05,0.000400339125117121,3297065,3297162,98
scaffold_2300,745506,746417,912,*,57,25.4719178911711,-1.26636039838467,-31.3678860508487,5.83396534624584e-05,0.000400339125117121,3473951,3474007,57
scaffold_2289,197540,199102,1563,*,78,32.1121244014299,-1.3243004277298,-31.3249960377845,5.83396534624584e-05,0.000400339125117121,3182031,3182108,78
scaffold_2307,596040,597131,1092,*,44,22.2441826133629,-1.53473441586277,-31.251584938684,5.83396534624584e-05,0.000400339125117121,3618108,3618151,44
scaffold_2265,44839,45275,437,*,17,10.0546404252268,-1.73776348437975,-31.2509004566081,5.83396534624584e-05,0.000400339125117121,2252746,2252762,17
scaffold_2242,488091,490242,2152,*,65,28.3199065423631,-1.28614254889406,-30.9985805401686,5.83396534624584e-05,0.000400339125117121,462611,462675,65
scaffold_2267,380653,382047,1395,*,89,40.9944086451144,-1.29076135492781,-30.8435010987517,5.83396534624584e-05,0.000400339125117121,2369687,2369775,89
scaffold_2302,237,677,441,*,27,16.1605439659947,1.73870511819816,30.8050103597051,5.83396534624584e-05,0.000400339125117121,3498104,3498130,27
scaffold_2291,819498,820381,884,*,22,12.3559911552422,-1.73312352931799,-30.3550850239722,5.83396534624584e-05,0.000400339125117121,3259764,3259785,22
scaffold_2387,194643,195930,1288,*,60,33.260534546566,1.46834626061909,29.6487375492025,5.83396534624584e-05,0.000400339125117121,4651789,4651848,60
scaffold_2282,708179,708392,214,*,26,18.1195008882665,-1.60738668698218,-29.4838008847951,5.83396534624584e-05,0.000400339125117121,2968668,2968693,26
